ADMISSION_ID,COURSE_APPLIED_DATE,COURSE_ENROLLED_DATE,ADMISSION_FEE,COURSE_ID,STUDENT_ID,CREATED_DATE,UPDATED_DATE
273,2022-04-04 13:50:54,2022-05-04 10:46:00,134582,685,3829,2022-09-19 15:14:31.441550,2022-09-19 15:14:31.590634,
122,2022-04-03 04:21:17,2022-06-13 00:45:08,240187,626,1383,2022-09-19 15:14:31.409219,2022-09-19 15:14:31.759791,
76,2022-05-27 13:42:30,2022-06-16 05:42:23,296278,899,1872,2022-09-19 15:14:31.965920,2022-09-19 15:14:31.549803,
66,2022-06-04 11:07:37,2022-07-09 11:49:56,96040,782,1738,2022-09-19 15:14:31.542224,2022-09-19 15:14:31.977189,
153,2022-04-02 20:45:16,2022-06-02 02:05:45,92952,899,4739,2022-09-19 15:14:31.032713,2022-09-19 15:14:31.168735,
170,2022-06-07 00:17:52,2022-05-08 16:24:45,123814,804,4035,2022-09-19 15:14:31.921862,2022-09-19 15:14:31.884600,
233,2022-05-23 14:33:49,2022-04-30 22:55:53,256955,685,1432,2022-09-19 15:14:31.726890,2022-09-19 15:14:31.691090,
81,2022-06-08 19:59:54,2022-07-06 05:14:56,149718,899,4198,2022-09-19 15:14:31.008651,2022-09-19 15:14:31.378260,
98,2022-04-21 05:34:57,2022-05-22 04:04:21,211965,899,4501,2022-09-19 15:14:31.469650,2022-09-19 15:14:31.323570,
50,2022-05-21 05:38:57,2022-05-04 02:19:13,280829,782,3686,2022-09-19 15:14:31.554296,2022-09-19 15:14:31.476715,
219,2022-05-02 08:31:42,2022-06-04 09:56:25,131329,804,3033,2022-09-19 15:14:31.003979,2022-09-19 15:14:31.347032,
251,2022-04-27 07:50:22,2022-06-18 01:32:30,85967,626,4044,2022-09-19 15:14:31.493285,2022-09-19 15:14:31.737537,
92,2022-04-17 16:57:04,2022-06-22 10:55:14,228499,626,4241,2022-09-19 15:14:31.667566,2022-09-19 15:14:31.685328,
47,2022-05-06 19:38:59,2022-07-03 09:57:54,188198,626,1428,2022-09-19 15:14:31.101816,2022-09-19 15:14:31.775508,
255,2022-04-23 12:43:33,2022-07-09 03:26:10,296061,685,2937,2022-09-19 15:14:31.715117,2022-09-19 15:14:31.027178,
35,2022-05-26 08:29:51,2022-05-01 03:02:02,98175,787,1861,2022-09-19 15:14:31.869563,2022-09-19 15:14:31.759618,
169,2022-06-09 00:10:58,2022-06-22 22:23:22,207822,804,1925,2022-09-19 15:14:31.024598,2022-09-19 15:14:31.901834,
223,2022-05-12 07:56:50,2022-06-04 08:44:32,213151,568,4149,2022-09-19 15:14:31.104345,2022-09-19 15:14:31.682750,
218,2022-04-30 09:52:45,2022-06-04 23:12:36,115235,787,4018,2022-09-19 15:14:31.482153,2022-09-19 15:14:31.603732,
77,2022-05-27 09:37:29,2022-05-08 19:03:01,148365,787,1663,2022-09-19 15:14:31.207287,2022-09-19 15:14:31.720973,
100,2022-03-11 16:35:13,2022-05-12 09:27:41,127118,899,2667,2022-09-19 15:14:31.664236,2022-09-19 15:14:31.549538,
260,2022-03-19 20:02:59,2022-06-30 04:03:10,234187,567,2289,2022-09-19 15:14:31.820255,2022-09-19 15:14:31.979862,
132,2022-06-12 09:14:18,2022-07-08 01:24:19,118846,626,1649,2022-09-19 15:14:31.937909,2022-09-19 15:14:31.640084,
29,2022-04-16 01:21:22,2022-06-22 14:07:45,136077,755,2289,2022-09-19 15:14:31.974393,2022-09-19 15:14:31.445256,
92,2022-04-25 05:21:00,2022-06-16 20:39:54,209615,568,1690,2022-09-19 15:14:31.785696,2022-09-19 15:14:31.477266,
40,2022-04-24 05:37:32,2022-07-02 23:46:40,252999,685,4576,2022-09-19 15:14:31.339243,2022-09-19 15:14:31.267207,
126,2022-03-22 17:56:19,2022-06-28 11:40:28,240779,626,3001,2022-09-19 15:14:31.839708,2022-09-19 15:14:31.124435,
41,2022-03-13 07:05:06,2022-06-22 15:11:06,165279,568,4673,2022-09-19 15:14:31.226170,2022-09-19 15:14:31.251598,
260,2022-04-26 00:03:55,2022-06-14 20:28:30,262887,899,2439,2022-09-19 15:14:31.001764,2022-09-19 15:14:31.973847,
102,2022-05-10 05:05:10,2022-05-02 00:43:47,298797,567,3428,2022-09-19 15:14:31.719718,2022-09-19 15:14:31.749773,
42,2022-06-04 09:55:23,2022-05-02 19:52:22,108879,755,1531,2022-09-19 15:14:31.741858,2022-09-19 15:14:31.707954,
107,2022-05-18 20:55:43,2022-06-25 15:45:29,282169,597,3921,2022-09-19 15:14:31.601038,2022-09-19 15:14:31.261622,
119,2022-06-10 03:59:43,2022-05-05 23:44:46,238058,804,2295,2022-09-19 15:14:31.228535,2022-09-19 15:14:31.333560,
277,2022-04-07 08:44:03,2022-05-03 12:08:24,294086,787,4739,2022-09-19 15:14:31.729967,2022-09-19 15:14:31.119142,
288,2022-05-31 17:29:08,2022-06-01 07:47:58,162731,685,3223,2022-09-19 15:14:31.806428,2022-09-19 15:14:31.849027,
167,2022-05-09 02:28:46,2022-06-20 23:26:14,153925,755,4966,2022-09-19 15:14:31.058091,2022-09-19 15:14:31.926450,
86,2022-06-03 22:01:46,2022-06-08 02:46:34,148677,755,1738,2022-09-19 15:14:31.261379,2022-09-19 15:14:31.697401,
1,2022-05-01 11:44:45,2022-05-13 02:34:14,184186,567,3594,2022-09-19 15:14:31.355440,2022-09-19 15:14:31.247255,
97,2022-04-03 02:28:24,2022-05-18 16:02:21,289867,787,1861,2022-09-19 15:14:31.753388,2022-09-19 15:14:31.620043,
6,2022-05-03 15:31:17,2022-05-26 09:35:31,212666,685,2996,2022-09-19 15:14:31.228843,2022-09-19 15:14:31.820472,
